rank	gene	description	n	cos	n_cos	N_cos	cos_ev	p	q
2526	LMF2	lipase maturation factor 2	0	1	0	293	0	1	1
2527	LMNB1	lamin B1	0	1	0	293	0	1	1
2528	LMNB2	lamin B2	0	1	0	293	0	1	1
2529	LMO7	LIM domain 7	3	2	0	586	0	1	1
2530	LMOD1	leiomodin 1 (smooth muscle)	1	1	0	293	0	1	1
2531	LMTK2	lemur tyrosine kinase 2	3	8	0	2344	0	1	1
2532	LMTK3	lemur tyrosine kinase 3	2	5	0	1465	0	1	1
2533	LMX1A	LIM homeobox transcription factor 1, alpha	0	2	0	586	0	1	1
2534	LNPEP	leucyl/cystinyl aminopeptidase	2	1	0	293	0	1	1
2535	LNX1	ligand of numb-protein X 1	0	2	0	586	0	1	1
2536	LNX2	ligand of numb-protein X 2	0	4	0	1172	0	1	1
2537	LONRF2	LON peptidase N-terminal domain and ring finger 2	0	1	0	293	0	1	1
2538	LONRF3	LON peptidase N-terminal domain and ring finger 3	3	2	0	586	0	1	1
2539	LOX	lysyl oxidase	0	1	0	293	0	1	1
2540	LPIN1	lipin 1	3	1	0	293	0	1	1
2541	LPL	lipoprotein lipase	1	1	0	293	0	1	1
2542	LPPR2		0	1	0	293	0	1	1
2543	LRAT	lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)	1	1	0	293	0	1	1
2544	LRBA	LPS-responsive vesicle trafficking, beach and anchor containing	6	3	0	879	0	1	1
2545	LRFN5	leucine rich repeat and fibronectin type III domain containing 5	3	1	0	293	0	1	1
2546	LRGUK	leucine-rich repeats and guanylate kinase domain containing	0	3	0	879	0	1	1
2547	LRIG3	leucine-rich repeats and immunoglobulin-like domains 3	3	1	0	293	0	1	1
2548	LRP1	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	6	2	0	586	0	1	1
2549	LRP10	low density lipoprotein receptor-related protein 10	1	1	0	293	0	1	1
2550	LRP1B	low density lipoprotein-related protein 1B (deleted in tumors)	14	18	0	5274	0	1	1
2551	LRP2	low density lipoprotein-related protein 2	8	7	0	2051	0	1	1
2552	LRP5	low density lipoprotein receptor-related protein 5	2	2	0	586	0	1	1
2553	LRP6	low density lipoprotein receptor-related protein 6	3	4	0	1172	0	1	1
2554	LRRC16A	leucine rich repeat containing 16A	1	1	0	293	0	1	1
2555	LRRC33	leucine rich repeat containing 33	3	1	0	293	0	1	1
2556	LRRC4	leucine rich repeat containing 4	2	1	0	293	0	1	1
2557	LRRC41	leucine rich repeat containing 41	0	1	0	293	0	1	1
2558	LRRC47	leucine rich repeat containing 47	0	1	0	293	0	1	1
2559	LRRC4B	leucine rich repeat containing 4B	0	1	0	293	0	1	1
2560	LRRC4C	leucine rich repeat containing 4C	0	1	0	293	0	1	1
2561	LRRC7	leucine rich repeat containing 7	1	7	0	2051	0	1	1
2562	LRRC8C	leucine rich repeat containing 8 family, member C	0	1	0	293	0	1	1
2563	LRRC8E	leucine rich repeat containing 8 family, member E	1	1	0	293	0	1	1
2564	LRRFIP1	leucine rich repeat (in FLII) interacting protein 1	0	3	0	879	0	1	1
2565	LRRIQ1	leucine-rich repeats and IQ motif containing 1	4	1	0	293	0	1	1
2566	LRRK1	leucine-rich repeat kinase 1	2	5	0	1465	0	1	1
2567	LRRK2	leucine-rich repeat kinase 2	4	8	0	2344	0	1	1
2568	LRRN1	leucine rich repeat neuronal 1	1	1	0	293	0	1	1
2569	LRRN2	leucine rich repeat neuronal 2	0	2	0	586	0	1	1
2570	LRRN3	leucine rich repeat neuronal 3	2	1	0	293	0	1	1
2571	LTBP1	latent transforming growth factor beta binding protein 1	5	3	0	879	0	1	1
2572	LTBP4	latent transforming growth factor beta binding protein 4	1	1	0	293	0	1	1
2573	LTF	lactotransferrin	1	3	0	879	0	1	1
2574	LTK	leukocyte receptor tyrosine kinase	1	6	0	1758	0	1	1
2575	LUC7L	LUC7-like (S. cerevisiae)	0	1	0	293	0	1	1
2576	LUM	lumican	2	2	0	586	0	1	1
2577	LY6G6F	lymphocyte antigen 6 complex, locus G6F	3	1	0	293	0	1	1
2578	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	1	2	0	586	0	1	1
2579	LYPLA1	lysophospholipase I	1	1	0	293	0	1	1
2580	LYST	lysosomal trafficking regulator	8	2	0	586	0	1	1
2581	LZTR1	leucine-zipper-like transcription regulator 1	0	2	0	586	0	1	1
2582	LZTS2	leucine zipper, putative tumor suppressor 2	0	2	0	586	0	1	1
2583	MACF1	microtubule-actin crosslinking factor 1	9	5	0	1465	0	1	1
2584	MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast)	0	1	0	293	0	1	1
2585	MADD	MAP-kinase activating death domain	2	3	0	879	0	1	1
2586	MAEA	macrophage erythroblast attacher	0	1	0	293	0	1	1
2587	MAEL	maelstrom homolog (Drosophila)	0	1	0	293	0	1	1
2588	MAFG	v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)	0	1	0	293	0	1	1
2589	MAG	myelin associated glycoprotein	0	1	0	293	0	1	1
2590	MAGEA1	melanoma antigen family A, 1 (directs expression of antigen MZ2-E)	2	3	0	879	0	1	1
2591	MAGEA4	melanoma antigen family A, 4	1	2	0	586	0	1	1
2592	MAGEB10	melanoma antigen family B, 10	2	2	0	586	0	1	1
2593	MAGEB16	melanoma antigen family B, 16	2	3	0	879	0	1	1
2594	MAGEB18	melanoma antigen family B, 18	0	1	0	293	0	1	1
2595	MAGEC1	melanoma antigen family C, 1	6	1	0	293	0	1	1
2596	MAGEC2	melanoma antigen family C, 2	1	1	0	293	0	1	1
2597	MAGEC3	melanoma antigen family C, 3	1	3	0	879	0	1	1
2598	MAGED2	melanoma antigen family D, 2	2	1	0	293	0	1	1
2599	MAGEE1	melanoma antigen family E, 1	2	3	0	879	0	1	1
2600	MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1	2	1	0	293	0	1	1
2601	MAGI3	membrane associated guanylate kinase, WW and PDZ domain containing 3	3	1	0	293	0	1	1
2602	MAGOHB	mago-nashi homolog B (Drosophila)	0	1	0	293	0	1	1
2603	MAK	male germ cell-associated kinase	1	1	0	293	0	1	1
2604	MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1	2	1	0	293	0	1	1
2605	MAMDC2	MAM domain containing 2	1	1	0	293	0	1	1
2606	MAMDC4	MAM domain containing 4	0	4	0	1172	0	1	1
2607	MAML1	mastermind-like 1 (Drosophila)	2	3	0	879	0	1	1
2608	MAML2	mastermind-like 2 (Drosophila)	2	1	0	293	0	1	1
2609	MAN1A1	mannosidase, alpha, class 1A, member 1	0	1	0	293	0	1	1
2610	MAN2A1	mannosidase, alpha, class 2A, member 1	2	1	0	293	0	1	1
2611	MAN2B1	mannosidase, alpha, class 2B, member 1	0	2	0	586	0	1	1
2612	MANEA	mannosidase, endo-alpha	2	1	0	293	0	1	1
2613	MAOA	monoamine oxidase A	1	1	0	293	0	1	1
2614	MAP1B	microtubule-associated protein 1B	1	3	0	879	0	1	1
2615	MAP1S	microtubule-associated protein 1S	4	1	0	293	0	1	1
2616	MAP2	microtubule-associated protein 2	1	3	0	879	0	1	1
2617	MAP2K4	mitogen-activated protein kinase kinase 4	0	15	0	4395	0	1	1
2618	MAP2K5	mitogen-activated protein kinase kinase 5	0	2	0	586	0	1	1
2619	MAP2K6	mitogen-activated protein kinase kinase 6	0	1	0	293	0	1	1
2620	MAP2K7	mitogen-activated protein kinase kinase 7	1	4	0	1172	0	1	1
2621	MAP3K1	mitogen-activated protein kinase kinase kinase 1	3	1	0	293	0	1	1
2622	MAP3K10	mitogen-activated protein kinase kinase kinase 10	2	3	0	879	0	1	1
2623	MAP3K11	mitogen-activated protein kinase kinase kinase 11	1	1	0	293	0	1	1
2624	MAP3K12	mitogen-activated protein kinase kinase kinase 12	1	3	0	879	0	1	1
2625	MAP3K13	mitogen-activated protein kinase kinase kinase 13	1	1	0	293	0	1	1
2626	MAP3K14	mitogen-activated protein kinase kinase kinase 14	1	3	0	879	0	1	1
2627	MAP3K15	mitogen-activated protein kinase kinase kinase 15	2	3	0	879	0	1	1
2628	MAP3K2	mitogen-activated protein kinase kinase kinase 2	2	4	0	1172	0	1	1
2629	MAP3K3	mitogen-activated protein kinase kinase kinase 3	0	4	0	1172	0	1	1
2630	MAP3K4	mitogen-activated protein kinase kinase kinase 4	5	4	0	1172	0	1	1
2631	MAP3K6	mitogen-activated protein kinase kinase kinase 6	2	6	0	1758	0	1	1
2632	MAP3K7	mitogen-activated protein kinase kinase kinase 7	2	1	0	293	0	1	1
2633	MAP3K8	mitogen-activated protein kinase kinase kinase 8	0	1	0	293	0	1	1
2634	MAP3K9	mitogen-activated protein kinase kinase kinase 9	1	4	0	1172	0	1	1
2635	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	0	4	0	1172	0	1	1
2636	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3	2	3	0	879	0	1	1
2637	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	2	3	0	879	0	1	1
2638	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	0	1	0	293	0	1	1
2639	MAP7D2	MAP7 domain containing 2	2	1	0	293	0	1	1
2640	MAP7D3	MAP7 domain containing 3	1	1	0	293	0	1	1
2641	MAP9	microtubule-associated protein 9	3	1	0	293	0	1	1
2642	MAPK11	mitogen-activated protein kinase 11	0	1	0	293	0	1	1
2643	MAPK13	mitogen-activated protein kinase 13	1	2	0	586	0	1	1
2644	MAPK14	mitogen-activated protein kinase 14	1	2	0	586	0	1	1
2645	MAPK15	mitogen-activated protein kinase 15	1	2	0	586	0	1	1
2646	MAPK4	mitogen-activated protein kinase 4	1	2	0	586	0	1	1
2647	MAPK6	mitogen-activated protein kinase 6	3	3	0	879	0	1	1
2648	MAPK7	mitogen-activated protein kinase 7	1	2	0	586	0	1	1
2649	MAPK8	mitogen-activated protein kinase 8	1	3	0	879	0	1	1
2650	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2	1	1	0	293	0	1	1
2651	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3	1	1	0	293	0	1	1
2652	MAPK9	mitogen-activated protein kinase 9	1	4	0	1172	0	1	1
2653	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	0	1	0	293	0	1	1
2654	MAPKBP1	mitogen-activated protein kinase binding protein 1	3	1	0	293	0	1	1
2655	MARCH5	membrane-associated ring finger (C3HC4) 5	2	1	0	293	0	1	1
2656	MARCO	macrophage receptor with collagenous structure	0	1	0	293	0	1	1
2657	MARK1	MAP/microtubule affinity-regulating kinase 1	6	5	0	1465	0	1	1
2658	MARK2	MAP/microtubule affinity-regulating kinase 2	1	1	0	293	0	1	1
2659	MARK3	MAP/microtubule affinity-regulating kinase 3	0	1	0	293	0	1	1
2660	MARK4	MAP/microtubule affinity-regulating kinase 4	1	3	0	879	0	1	1
2661	MARS	methionyl-tRNA synthetase	2	1	0	293	0	1	1
2662	MAST1	microtubule associated serine/threonine kinase 1	0	4	0	1172	0	1	1
2663	MAST2	microtubule associated serine/threonine kinase 2	1	5	0	1465	0	1	1
2664	MAST3	microtubule associated serine/threonine kinase 3	2	1	0	293	0	1	1
2665	MAST4	microtubule associated serine/threonine kinase family member 4	6	3	0	879	0	1	1
2666	MASTL	microtubule associated serine/threonine kinase-like	0	3	0	879	0	1	1
2667	MATK	megakaryocyte-associated tyrosine kinase	1	3	0	879	0	1	1
2668	MATN1	matrilin 1, cartilage matrix protein	1	1	0	293	0	1	1
2669	MBD4	methyl-CpG binding domain protein 4	2	1	0	293	0	1	1
2670	MBD6	methyl-CpG binding domain protein 6	2	3	0	879	0	1	1
2671	MCART1	mitochondrial carrier triple repeat 1	0	1	0	293	0	1	1
2672	MCF2	MCF.2 cell line derived transforming sequence	2	2	0	586	0	1	1
2673	MCF2L	MCF.2 cell line derived transforming sequence-like	0	1	0	293	0	1	1
2674	MCF2L2	MCF.2 cell line derived transforming sequence-like 2	1	3	0	879	0	1	1
2675	MCHR2	melanin-concentrating hormone receptor 2	2	1	0	293	0	1	1
2676	MCM10	minichromosome maintenance complex component 10	3	1	0	293	0	1	1
2677	MCM2	minichromosome maintenance complex component 2	3	1	0	293	0	1	1
2678	MCM3	minichromosome maintenance complex component 3	0	3	0	879	0	1	1
2679	MCM3AP	minichromosome maintenance complex component 3 associated protein	5	4	0	1172	0	1	1
2680	MCM4	minichromosome maintenance complex component 4	0	2	0	586	0	1	1
2681	MCM8	minichromosome maintenance complex component 8	1	1	0	293	0	1	1
2682	MCOLN1	mucolipin 1	0	1	0	293	0	1	1
2683	MCPH1	microcephalin 1	2	1	0	293	0	1	1
2684	MCRS1	microspherule protein 1	1	1	0	293	0	1	1
2685	MDC1	mediator of DNA damage checkpoint 1	0	1	0	293	0	1	1
2686	MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1	2	1	0	293	0	1	1
2687	MDH1	malate dehydrogenase 1, NAD (soluble)	2	2	0	586	0	1	1
2688	MDH2	malate dehydrogenase 2, NAD (mitochondrial)	0	1	0	293	0	1	1
2689	MDM2	Mdm2 p53 binding protein homolog (mouse)	0	3	0	879	0	1	1
2690	MDM4	Mdm4 p53 binding protein homolog (mouse)	0	2	0	586	0	1	1
2691	MECOM	MDS1 and EVI1 complex locus	3	5	0	1465	0	1	1
2692	MED1	mediator complex subunit 1	0	1	0	293	0	1	1
2693	MED12	mediator complex subunit 12	4	2	0	586	0	1	1
2694	MED13L	mediator complex subunit 13-like	2	3	0	879	0	1	1
2695	MED14	mediator complex subunit 14	2	3	0	879	0	1	1
2696	MEF2C	myocyte enhancer factor 2C	2	1	0	293	0	1	1
2697	MEFV	Mediterranean fever	1	2	0	586	0	1	1
2698	MEI1	meiosis inhibitor 1	3	1	0	293	0	1	1
2699	MEN1	multiple endocrine neoplasia I	1	207	0	60651	0	1	1
2700	MEOX2	mesenchyme homeobox 2	1	1	0	293	0	1	1
2701	MEPE	matrix, extracellular phosphoglycoprotein with ASARM motif (bone)	2	1	0	293	0	1	1
2702	MERTK	c-mer proto-oncogene tyrosine kinase	2	6	0	1758	0	1	1
2703	MET	met proto-oncogene (hepatocyte growth factor receptor)	4	33	0	9669	0	1	1
2704	METT10D	methyltransferase 10 domain containing	2	3	0	879	0	1	1
2705	METTL4	methyltransferase like 4	1	1	0	293	0	1	1
2706	METTL5	methyltransferase like 5	0	1	0	293	0	1	1
2707	MEX3B	mex-3 homolog B (C. elegans)	1	2	0	586	0	1	1
2708	MEX3D	mex-3 homolog D (C. elegans)	0	1	0	293	0	1	1
2709	MFAP1	microfibrillar-associated protein 1	1	1	0	293	0	1	1
2710	MFAP5	microfibrillar associated protein 5	1	1	0	293	0	1	1
2711	MFF	mitochondrial fission factor	0	1	0	293	0	1	1
2712	MFN1	mitofusin 1	1	1	0	293	0	1	1
2713	MFSD4	major facilitator superfamily domain containing 4	0	1	0	293	0	1	1
2714	MFSD9	major facilitator superfamily domain containing 9	0	2	0	586	0	1	1
2715	MGA	MAX gene associated	2	6	0	1758	0	1	1
2716	MGC42105		0	3	0	879	0	1	1
2717	MIA2	melanoma inhibitory activity 2	1	1	0	293	0	1	1
2718	MICAL1	microtubule associated monoxygenase, calponin and LIM domain containing 1	3	2	0	586	0	1	1
2719	MICALL1	MICAL-like 1	0	1	0	293	0	1	1
2720	MICALL2	MICAL-like 2	2	1	0	293	0	1	1
2721	MINK1	misshapen-like kinase 1 (zebrafish)	1	3	0	879	0	1	1
2722	MINPP1	multiple inositol polyphosphate histidine phosphatase, 1	0	1	0	293	0	1	1
2723	MIPEP	mitochondrial intermediate peptidase	0	1	0	293	0	1	1
2724	MITD1	MIT, microtubule interacting and transport, domain containing 1	0	3	0	879	0	1	1
2725	MKI67	antigen identified by monoclonal antibody Ki-67	7	1	0	293	0	1	1
2726	MKNK1	MAP kinase interacting serine/threonine kinase 1	1	2	0	586	0	1	1
2727	MKNK2	MAP kinase interacting serine/threonine kinase 2	2	1	0	293	0	1	1
2728	MKRN3	makorin, ring finger protein, 3	3	2	0	586	0	1	1
2729	MLF2	myeloid leukemia factor 2	1	1	0	293	0	1	1
2730	MLH1	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	0	47	0	13771	0	1	1
2731	MLH3	mutL homolog 3 (E. coli)	4	1	0	293	0	1	1
2732	MLKL	mixed lineage kinase domain-like	1	2	0	586	0	1	1
2733	MLL	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	5	10	0	2930	0	1	1
2734	MLL2	myeloid/lymphoid or mixed-lineage leukemia 2	10	18	0	5274	0	1	1
2735	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	20	10	0	2930	0	1	1
2736	MLL4	myeloid/lymphoid or mixed-lineage leukemia 2	3	6	0	1758	0	1	1
2737	MLLT10	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	2	1	0	293	0	1	1
2738	MLLT3	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	0	1	0	293	0	1	1
2739	MLLT6	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6	0	1	0	293	0	1	1
2740	MMADHC	methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria	0	1	0	293	0	1	1
2741	MMD2	monocyte to macrophage differentiation-associated 2	0	1	0	293	0	1	1
2742	MME	membrane metallo-endopeptidase	1	1	0	293	0	1	1
2743	MMP1	matrix metallopeptidase 1 (interstitial collagenase)	0	1	0	293	0	1	1
2744	MMP10	matrix metallopeptidase 10 (stromelysin 2)	1	3	0	879	0	1	1
2745	MMP11	matrix metallopeptidase 11 (stromelysin 3)	1	1	0	293	0	1	1
2746	MMP15	matrix metallopeptidase 15 (membrane-inserted)	0	2	0	586	0	1	1
2747	MMP16	matrix metallopeptidase 16 (membrane-inserted)	1	3	0	879	0	1	1
2748	MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	1	5	0	1465	0	1	1
2749	MMP20	matrix metallopeptidase 20 (enamelysin)	4	1	0	293	0	1	1
2750	MMP28	matrix metallopeptidase 28	0	1	0	293	0	1	1
2751	MMP3	matrix metallopeptidase 3 (stromelysin 1, progelatinase)	0	1	0	293	0	1	1
2752	MMP8	matrix metallopeptidase 8 (neutrophil collagenase)	1	1	0	293	0	1	1
2753	MMRN2	multimerin 2	1	1	0	293	0	1	1
2754	MN1	meningioma (disrupted in balanced translocation) 1	1	2	0	586	0	1	1
2755	MOBKL2A	MOB1, Mps One Binder kinase activator-like 2A (yeast)	0	1	0	293	0	1	1
2756	MOBKL2B	MOB1, Mps One Binder kinase activator-like 2B (yeast)	0	1	0	293	0	1	1
2757	MOBP	myelin-associated oligodendrocyte basic protein	0	1	0	293	0	1	1
2758	MOCS1	molybdenum cofactor synthesis 1	0	1	0	293	0	1	1
2759	MOCS3	molybdenum cofactor synthesis 3	2	1	0	293	0	1	1
2760	MON2	MON2 homolog (S. cerevisiae)	1	2	0	586	0	1	1
2761	MOS	v-mos Moloney murine sarcoma viral oncogene homolog	0	1	0	293	0	1	1
2762	MOSPD1	motile sperm domain containing 1	0	1	0	293	0	1	1
2763	MOSPD2	motile sperm domain containing 2	2	1	0	293	0	1	1
2764	MPDU1	mannose-P-dolichol utilization defect 1	0	1	0	293	0	1	1
2765	MPDZ	multiple PDZ domain protein	3	1	0	293	0	1	1
2766	MPG	N-methylpurine-DNA glycosylase	1	1	0	293	0	1	1
2767	MPL	myeloproliferative leukemia virus oncogene	1	24	0	7032	0	1	1
2768	MPO	myeloperoxidase	2	1	0	293	0	1	1
2769	MPP1	membrane protein, palmitoylated 1, 55kDa	0	1	0	293	0	1	1
2770	MPPED2	metallophosphoesterase domain containing 2	0	1	0	293	0	1	1
2771	MPZ	myelin protein zero (Charcot-Marie-Tooth neuropathy 1B)	0	1	0	293	0	1	1
2772	MRAS	muscle RAS oncogene homolog	1	2	0	586	0	1	1
2773	MRC2	mannose receptor, C type 2	2	1	0	293	0	1	1
2774	MRE11A	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	0	4	0	1172	0	1	1
2775	MRPL16	mitochondrial ribosomal protein L16	0	1	0	293	0	1	1
2776	MRPL44	mitochondrial ribosomal protein L44	0	1	0	293	0	1	1
2777	MRPL46	mitochondrial ribosomal protein L46	0	1	0	293	0	1	1
2778	MRPL55	mitochondrial ribosomal protein L55	0	1	0	293	0	1	1
2779	MRPS5	mitochondrial ribosomal protein S5	2	1	0	293	0	1	1
2780	MRPS6	mitochondrial ribosomal protein S6	0	1	0	293	0	1	1
2781	MS4A5	membrane-spanning 4-domains, subfamily A, member 5	0	1	0	293	0	1	1
2782	MSH2	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	2	40	0	11720	0	1	1
2783	MSH4	mutS homolog 4 (E. coli)	3	1	0	293	0	1	1
2784	MSH6	mutS homolog 6 (E. coli)	3	45	0	13185	0	1	1
2785	MSI1	musashi homolog 1 (Drosophila)	2	3	0	879	0	1	1
2786	MSL2	male-specific lethal 2 homolog (Drosophila)	0	1	0	293	0	1	1
2787	MSRB3	methionine sulfoxide reductase B3	0	1	0	293	0	1	1
2788	MST1	macrophage stimulating 1 (hepatocyte growth factor-like)	1	1	0	293	0	1	1
2789	MST1R	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)	1	2	0	586	0	1	1
2790	MST4		0	3	0	879	0	1	1
2791	MSTN	myostatin	0	1	0	293	0	1	1
2792	MTA1	metastasis associated 1	1	1	0	293	0	1	1
2793	MTAP	methylthioadenosine phosphorylase	2	1	0	293	0	1	1
2794	MTBP	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) binding protein, 104kDa	1	2	0	586	0	1	1
2795	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	0	1	0	293	0	1	1
2796	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like	0	1	0	293	0	1	1
2797	MTL5	metallothionein-like 5, testis-specific (tesmin)	1	1	0	293	0	1	1
2798	MTMR3	myotubularin related protein 3	1	3	0	879	0	1	1
2799	MTMR4	myotubularin related protein 4	3	1	0	293	0	1	1
2800	MTMR8	myotubularin related protein 8	2	2	0	586	0	1	1
2801	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	1	1	0	293	0	1	1
2802	MTX2	metaxin 2	0	1	0	293	0	1	1
2803	MUC1	mucin 1, cell surface associated	0	1	0	293	0	1	1
2804	MUC16	mucin 16, cell surface associated	34	1	0	293	0	1	1
2805	MUC17	mucin 17, cell surface associated	17	2	0	586	0	1	1
2806	MUC2	mucin 2, oligomeric mucus/gel-forming	11	1	0	293	0	1	1
2807	MUC7	mucin 7, secreted	3	1	0	293	0	1	1
2808	MUM1L1	melanoma associated antigen (mutated) 1-like 1	1	1	0	293	0	1	1
2809	MUSK	muscle, skeletal, receptor tyrosine kinase	1	2	0	586	0	1	1
2810	MVP	major vault protein	3	2	0	586	0	1	1
2811	MXRA5	matrix-remodelling associated 5	2	1	0	293	0	1	1
2812	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	1	1	0	293	0	1	1
2813	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	2	3	0	879	0	1	1
2814	MYBPC3	myosin binding protein C, cardiac	1	1	0	293	0	1	1
2815	MYBPHL	myosin binding protein H-like	0	1	0	293	0	1	1
2816	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	0	4	0	1172	0	1	1
2817	MYCBPAP	MYCBP associated protein	1	1	0	293	0	1	1
2818	MYCL1	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)	2	1	0	293	0	1	1
2819	MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	1	3	0	879	0	1	1
2820	MYF6	myogenic factor 6 (herculin)	1	1	0	293	0	1	1
2821	MYH1	myosin, heavy chain 1, skeletal muscle, adult	7	3	0	879	0	1	1
2822	MYH11	myosin, heavy chain 11, smooth muscle	3	2	0	586	0	1	1
2823	MYH15	myosin, heavy chain 15	2	2	0	586	0	1	1
2824	MYH2	myosin, heavy chain 2, skeletal muscle, adult	6	1	0	293	0	1	1
2825	MYH4	myosin, heavy chain 4, skeletal muscle	7	1	0	293	0	1	1
2826	MYH9	myosin, heavy chain 9, non-muscle	2	7	0	2051	0	1	1
2827	MYLK	myosin light chain kinase	3	1	0	293	0	1	1
2828	MYLK2	myosin light chain kinase 2	2	3	0	879	0	1	1
2829	MYLK3	myosin light chain kinase 3	3	2	0	586	0	1	1
2830	MYO15A	myosin XVA	3	2	0	586	0	1	1
2831	MYO16	myosin XVI	6	1	0	293	0	1	1
2832	MYO18B	myosin XVIIIB	4	1	0	293	0	1	1
2833	MYO1A	myosin IA	3	1	0	293	0	1	1
2834	MYO1B	myosin IB	3	6	0	1758	0	1	1
2835	MYO1D	myosin ID	1	1	0	293	0	1	1
2836	MYO1E	myosin IE	3	1	0	293	0	1	1
2837	MYO3A	myosin IIIA	7	14	0	4102	0	1	1
2838	MYO3B	myosin IIIB	1	9	0	2637	0	1	1
2839	MYO5A	myosin VA (heavy chain 12, myoxin)	3	1	0	293	0	1	1
2840	MYO5C	myosin VC	6	2	0	586	0	1	1
2841	MYO9A	myosin IXA	3	1	0	293	0	1	1
2842	MYOD1	myogenic differentiation 1	0	2	0	586	0	1	1
2843	MYOT	myotilin	1	1	0	293	0	1	1
2844	MYRIP	myosin VIIA and Rab interacting protein	0	2	0	586	0	1	1
2845	MYST2	MYST histone acetyltransferase 2	2	2	0	586	0	1	1
2846	MYST4	MYST histone acetyltransferase (monocytic leukemia) 4	3	4	0	1172	0	1	1
2847	N4BP2	NEDD4 binding protein 2	1	5	0	1465	0	1	1
2848	NAA25	N(alpha)-acetyltransferase 25, NatB auxiliary subunit	1	1	0	293	0	1	1
2849	NAA35	N(alpha)-acetyltransferase 35, NatC auxiliary subunit	3	1	0	293	0	1	1
2850	NAMPT	nicotinamide phosphoribosyltransferase	1	1	0	293	0	1	1
2851	NAP1L2	nucleosome assembly protein 1-like 2	3	1	0	293	0	1	1
2852	NAP1L3	nucleosome assembly protein 1-like 3	0	1	0	293	0	1	1
2853	NAT10	N-acetyltransferase 10	0	2	0	586	0	1	1
2854	NAT2	N-acetyltransferase 2 (arylamine N-acetyltransferase)	1	1	0	293	0	1	1
2855	NAT6	N-acetyltransferase 6	0	1	0	293	0	1	1
2856	NAV1	neuron navigator 1	2	1	0	293	0	1	1
2857	NAV3	neuron navigator 3	7	3	0	879	0	1	1
2858	NBN	nibrin	1	8	0	2344	0	1	1
2859	NCAPD2	non-SMC condensin I complex, subunit D2	1	1	0	293	0	1	1
2860	NCAPD3	non-SMC condensin II complex, subunit D3	3	1	0	293	0	1	1
2861	NCAPG	non-SMC condensin I complex, subunit G	2	1	0	293	0	1	1
2862	NCAPG2	non-SMC condensin II complex, subunit G2	2	1	0	293	0	1	1
2863	NCBP1	nuclear cap binding protein subunit 1, 80kDa	0	1	0	293	0	1	1
2864	NCDN	neurochondrin	1	2	0	586	0	1	1
2865	NCKAP1L	NCK-associated protein 1-like	1	1	0	293	0	1	1
2866	NCOA2	nuclear receptor coactivator 2	1	3	0	879	0	1	1
2867	NCOA3	nuclear receptor coactivator 3	4	2	0	586	0	1	1
2868	NCOA5	nuclear receptor coactivator 5	3	1	0	293	0	1	1
2869	NCOA6	nuclear receptor coactivator 6	6	2	0	586	0	1	1
2870	NCOA7	nuclear receptor coactivator 7	0	2	0	586	0	1	1
2871	NCOR1	nuclear receptor co-repressor 1	5	1	0	293	0	1	1
2872	NCR1	natural cytotoxicity triggering receptor 1	0	1	0	293	0	1	1
