rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_ks	p_cons	p_joint	p	q
6939	HELZ	helicase with zinc finger	1742982	3	3	3	1	0	0	1	1	1	0	0.624	0.676	0.146	0.583	0.347	0.547	1.000
6940	CAMK2G	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	474127	2	2	2	0	0	0	1	1	0	0	0.216	0.560	0.943	0.146	1.000	0.547	1.000
6941	SIDT1	SID1 transmembrane family, member 1	719014	1	1	1	0	0	0	0	1	0	0	0.547	0.841	NaN	NaN	NaN	0.547	1.000
6942	CDH8	cadherin 8, type 2	716091	4	4	4	2	0	0	1	3	0	0	0.357	0.913	0.233	0.938	0.605	0.547	1.000
6943	MMP21	matrix metallopeptidase 21	394137	1	1	1	1	0	0	1	0	0	0	0.548	0.883	NaN	NaN	NaN	0.548	1.000
6944	BSN	bassoon (presynaptic cytomatrix protein)	3263483	3	3	3	0	1	0	2	0	0	0	0.907	0.310	0.145	0.731	0.238	0.548	1.000
6945	CDC7	cell division cycle 7 homolog (S. cerevisiae)	518317	1	1	1	0	0	0	1	0	0	0	0.548	0.688	NaN	NaN	NaN	0.548	1.000
6946	TYRP1	tyrosinase-related protein 1	481062	1	1	1	1	0	0	1	0	0	0	0.548	0.893	NaN	NaN	NaN	0.548	1.000
6947	ZBTB7B	zinc finger and BTB domain containing 7B	472277	1	1	1	0	0	0	0	1	0	0	0.548	0.805	NaN	NaN	NaN	0.548	1.000
6948	EPHA1	EPH receptor A1	830976	1	1	1	2	0	0	0	0	1	0	0.548	1.000	NaN	NaN	NaN	0.548	1.000
6949	WDR70	WD repeat domain 70	596841	1	1	1	1	0	0	1	0	0	0	0.548	0.868	NaN	NaN	NaN	0.548	1.000
6950	FAM83H	family with sequence similarity 83, member H	659385	1	1	1	0	0	0	1	0	0	0	0.548	0.626	NaN	NaN	NaN	0.548	1.000
6951	ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	1235268	3	3	3	2	0	0	0	3	0	0	0.863	0.910	0.133	0.420	0.251	0.548	1.000
6952	PADI3	peptidyl arginine deiminase, type III	602244	1	1	1	0	0	0	0	1	0	0	0.548	0.833	NaN	NaN	NaN	0.548	1.000
6953	GPHN	gephyrin	703774	2	2	2	1	0	1	1	0	0	0	0.288	0.758	0.386	0.680	0.752	0.548	1.000
6954	PZP	pregnancy-zone protein	1345742	5	5	5	2	0	1	1	3	0	0	0.310	0.727	0.581	0.901	0.699	0.548	1.000
6955	HCLS1	hematopoietic cell-specific Lyn substrate 1	442629	1	1	1	0	0	0	0	1	0	0	0.548	0.836	NaN	NaN	NaN	0.548	1.000
6956	SDCCAG8	serologically defined colon cancer antigen 8	648675	1	1	1	1	0	0	0	1	0	0	0.548	0.957	NaN	NaN	NaN	0.548	1.000
6957	GALNT4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4)	510109	1	1	1	1	0	0	0	1	0	0	0.549	0.948	NaN	NaN	NaN	0.549	1.000
6958	GTF2I	general transcription factor II, i	573316	1	1	1	0	0	0	0	1	0	0	0.549	0.838	NaN	NaN	NaN	0.549	1.000
6959	APLP1	amyloid beta (A4) precursor-like protein 1	504904	1	1	1	1	0	0	0	1	0	0	0.549	0.933	NaN	NaN	NaN	0.549	1.000
6960	MYCBPAP	MYCBP associated protein	852427	1	1	1	0	0	0	0	0	1	0	0.549	0.836	NaN	NaN	NaN	0.549	1.000
6961	STXBP5L	syntaxin binding protein 5-like	1074916	3	3	3	0	0	0	2	0	1	0	0.299	0.369	0.660	0.250	0.727	0.549	1.000
6962	FUK	fucokinase	788567	1	1	1	0	0	0	0	0	1	0	0.549	1.000	NaN	NaN	NaN	0.549	1.000
6963	SNX2	sorting nexin 2	443898	1	1	1	0	0	0	0	1	0	0	0.549	0.853	NaN	NaN	NaN	0.549	1.000
6964	PRPF40A	PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae)	724798	2	2	2	0	0	2	0	0	0	0	0.218	0.263	0.553	0.276	1.000	0.549	1.000
6965	TUBGCP3	tubulin, gamma complex associated protein 3	820818	1	1	1	1	1	0	0	0	0	0	0.550	0.901	NaN	NaN	NaN	0.550	1.000
6966	VWA3B	von Willebrand factor A domain containing 3B	1155884	3	3	3	0	0	0	1	2	0	0	0.350	0.479	0.522	0.343	0.624	0.550	1.000
6967	DDR1	discoidin domain receptor tyrosine kinase 1	824879	1	1	1	0	0	0	0	0	1	0	0.551	0.633	NaN	NaN	NaN	0.551	1.000
6968	CAPRIN1	cell cycle associated protein 1	636390	1	1	1	0	0	0	1	0	0	0	0.551	0.687	NaN	NaN	NaN	0.551	1.000
6969	DYSF	dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)	1804565	4	4	4	1	0	0	1	2	1	0	0.455	0.805	0.829	0.189	0.481	0.551	1.000
6970	ZFP28	zinc finger protein 28 homolog (mouse)	739061	1	1	1	0	0	0	0	1	0	0	0.551	0.855	NaN	NaN	NaN	0.551	1.000
6971	G6PD	glucose-6-phosphate dehydrogenase	456787	1	1	1	0	0	0	0	1	0	0	0.551	0.840	NaN	NaN	NaN	0.551	1.000
6972	GRIK1	glutamate receptor, ionotropic, kainate 1	865630	2	2	2	0	0	0	1	1	0	0	0.373	0.566	0.391	0.896	0.587	0.551	1.000
6973	MYO1D	myosin ID	879903	1	1	1	1	0	0	0	0	1	0	0.552	0.922	NaN	NaN	NaN	0.552	1.000
6974	CHML	choroideremia-like (Rab escort protein 2)	578675	2	2	2	0	0	1	0	1	0	0	0.222	0.453	0.612	0.663	0.987	0.552	1.000
6975	OLFM1	olfactomedin 1	420145	1	1	1	0	0	0	0	1	0	0	0.552	0.849	NaN	NaN	NaN	0.552	1.000
6976	ADAD1	adenosine deaminase domain containing 1 (testis-specific)	520075	1	1	1	0	0	0	1	0	0	0	0.552	0.688	NaN	NaN	NaN	0.552	1.000
6977	DCHS1	dachsous 1 (Drosophila)	2208914	3	3	3	1	0	0	2	1	0	0	0.715	0.616	0.933	0.0887	0.307	0.552	1.000
6978	CCDC87	coiled-coil domain containing 87	746963	1	1	1	0	0	0	0	1	0	0	0.552	0.821	NaN	NaN	NaN	0.552	1.000
6979	ZZZ3	zinc finger, ZZ-type containing 3	807494	1	1	1	1	0	0	1	0	0	0	0.552	0.903	NaN	NaN	NaN	0.552	1.000
6980	SLFN12	schlafen family member 12	512457	1	1	1	1	0	0	0	1	0	0	0.552	0.954	NaN	NaN	NaN	0.552	1.000
6981	SLC12A4	solute carrier family 12 (potassium/chloride transporters), member 4	961415	2	2	2	1	0	0	0	2	0	0	0.529	0.913	0.278	0.514	0.415	0.553	1.000
6982	BMX	BMX non-receptor tyrosine kinase	615054	2	2	2	0	0	0	1	1	0	0	0.220	0.579	0.314	0.923	1.000	0.553	1.000
6983	COL21A1	collagen, type XXI, alpha 1	753714	2	2	2	0	0	0	0	0	2	0	0.220	0.561	0.816	0.631	1.000	0.553	1.000
6984	ZNF687	zinc finger protein 687	1045170	3	3	3	1	0	0	0	2	1	0	0.220	0.898	0.678	0.902	1.000	0.553	1.000
6985	SPTY2D1	SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae)	610026	2	2	2	2	0	0	1	0	1	0	0.383	0.945	0.432	0.157	0.574	0.553	1.000
6986	NLRP13	NLR family, pyrin domain containing 13	929982	2	2	2	0	0	0	1	1	0	0	0.533	0.549	0.387	0.398	0.413	0.553	1.000
6987	SCP2	sterol carrier protein 2	488641	2	2	2	0	0	0	1	1	0	0	0.224	0.605	0.900	0.447	0.983	0.553	1.000
6988	CRTC1	CREB regulated transcription coactivator 1	487426	1	1	1	1	0	0	0	1	0	0	0.553	0.931	NaN	NaN	NaN	0.553	1.000
6989	PGBD3	piggyBac transposable element derived 3	523298	1	1	1	0	0	0	0	1	0	0	0.553	0.842	NaN	NaN	NaN	0.553	1.000
6990	SF3B2	splicing factor 3b, subunit 2, 145kDa	812245	2	2	2	0	0	0	1	1	0	0	0.342	0.555	0.734	0.316	0.642	0.553	1.000
6991	DLC1	deleted in liver cancer 1	1387632	3	3	3	1	0	1	1	1	0	0	0.382	0.668	0.656	0.281	0.576	0.553	1.000
6992	CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta	491197	1	1	1	0	0	0	0	1	0	0	0.554	0.836	NaN	NaN	NaN	0.554	1.000
6993	MTHFR	5,10-methylenetetrahydrofolate reductase (NADPH)	590146	1	1	1	0	0	0	0	1	0	0	0.554	0.834	NaN	NaN	NaN	0.554	1.000
6994	BTNL9	butyrophilin-like 9	382833	1	1	1	1	0	0	0	1	0	0	0.554	0.923	NaN	NaN	NaN	0.554	1.000
6995	NDST2	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2	758122	2	2	2	0	1	1	0	0	0	0	0.220	0.627	0.662	0.294	1.000	0.554	1.000
6996	PTPN13	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)	2023560	7	7	7	3	1	0	1	3	2	0	0.764	0.819	0.218	0.314	0.289	0.554	1.000
6997	KIF11	kinesin family member 11	940441	2	2	2	0	0	0	1	1	0	0	0.455	0.575	0.239	0.626	0.485	0.554	1.000
6998	EXT1	exostoses (multiple) 1	669058	1	1	1	0	0	0	0	1	0	0	0.554	0.850	NaN	NaN	NaN	0.554	1.000
6999	KCNA1	potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)	437144	1	1	1	0	0	0	0	1	0	0	0.554	0.835	NaN	NaN	NaN	0.554	1.000
7000	ATF7	activating transcription factor 7	410539	1	1	1	0	0	0	0	1	0	0	0.554	0.802	NaN	NaN	NaN	0.554	1.000
7001	CBFA2T2	core-binding factor, runt domain, alpha subunit 2; translocated to, 2	544764	2	2	2	0	0	0	2	0	0	0	0.221	0.456	0.930	0.629	1.000	0.554	1.000
7002	RHBG	Rh family, B glycoprotein	415363	1	1	1	0	0	0	1	0	0	0	0.554	0.640	NaN	NaN	NaN	0.554	1.000
7003	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	578776	1	1	1	0	0	0	0	1	0	0	0.554	0.829	NaN	NaN	NaN	0.554	1.000
7004	NCAPG	non-SMC condensin I complex, subunit G	883866	2	2	2	1	0	0	0	0	2	0	0.252	1.000	0.332	0.757	0.878	0.555	1.000
7005	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	676830	1	1	1	0	0	0	0	0	1	0	0.555	0.647	NaN	NaN	NaN	0.555	1.000
7006	TBC1D8	TBC1 domain family, member 8 (with GRAM domain)	963296	3	3	3	0	0	0	0	2	1	0	0.221	0.608	0.701	0.981	1.000	0.555	1.000
7007	NSUN2	NOL1/NOP2/Sun domain family, member 2	668040	1	1	1	1	0	0	0	1	0	0	0.555	0.950	NaN	NaN	NaN	0.555	1.000
7008	SPATA20	spermatogenesis associated 20	700314	1	1	1	0	0	0	1	0	0	0	0.555	0.632	NaN	NaN	NaN	0.555	1.000
7009	ALDH18A1	aldehyde dehydrogenase 18 family, member A1	696165	1	1	1	1	0	0	1	0	0	0	0.555	0.940	NaN	NaN	NaN	0.555	1.000
7010	CDKL5	cyclin-dependent kinase-like 5	929134	2	2	2	0	1	0	0	1	0	0	0.360	0.610	0.101	0.455	0.614	0.555	1.000
7011	ARMC6	armadillo repeat containing 6	426847	1	1	1	0	0	0	0	1	0	0	0.555	0.816	NaN	NaN	NaN	0.555	1.000
7012	RHOBTB1	Rho-related BTB domain containing 1	623211	1	1	1	0	0	0	0	1	0	0	0.555	0.846	NaN	NaN	NaN	0.555	1.000
7013	SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	426803	1	1	1	0	0	0	0	1	0	0	0.555	0.836	NaN	NaN	NaN	0.555	1.000
7014	PKHD1	polycystic kidney and hepatic disease 1 (autosomal recessive)	3670669	7	7	7	4	0	2	3	1	1	0	0.995	0.801	0.515	0.117	0.223	0.555	1.000
7015	ITGAX	integrin, alpha X (complement component 3 receptor 4 subunit)	1000509	2	2	2	1	2	0	0	0	0	0	0.378	0.700	0.709	0.468	0.586	0.555	1.000
7016	EPHX2	epoxide hydrolase 2, cytoplasmic	490920	1	1	1	0	0	0	0	1	0	0	0.556	0.843	NaN	NaN	NaN	0.556	1.000
7017	MTTP	microsomal triglyceride transfer protein	807799	2	2	2	1	1	0	1	0	0	0	0.224	0.751	0.581	0.741	0.988	0.556	1.000
7018	AHNAK2	AHNAK nucleoprotein 2	5003589	13	13	13	3	2	0	5	4	2	0	0.383	0.325	0.443	0.416	0.579	0.556	1.000
7019	FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	578167	1	1	1	0	0	0	0	1	0	0	0.556	0.813	NaN	NaN	NaN	0.556	1.000
7020	SUCLG1	succinate-CoA ligase, alpha subunit	285929	2	2	2	2	0	0	0	2	0	0	1.000	0.933	0.681	0.128	0.222	0.557	1.000
7021	SLC9A3	solute carrier family 9 (sodium/hydrogen exchanger), member 3	520954	1	1	1	1	0	0	0	1	0	0	0.557	0.925	NaN	NaN	NaN	0.557	1.000
7022	KRT6C	keratin 6C	448246	1	1	1	1	0	0	0	1	0	0	0.557	0.971	NaN	NaN	NaN	0.557	1.000
7023	VWA3A	von Willebrand factor A domain containing 3A	856267	1	1	1	0	0	0	1	0	0	0	0.558	0.647	NaN	NaN	NaN	0.558	1.000
7024	GTF2F1	general transcription factor IIF, polypeptide 1, 74kDa	436339	1	1	1	0	0	0	0	1	0	0	0.558	0.853	NaN	NaN	NaN	0.558	1.000
7025	GLYCTK	glycerate kinase	464712	1	1	1	0	0	0	1	0	0	0	0.558	0.656	NaN	NaN	NaN	0.558	1.000
7026	ZNF567	zinc finger protein 567	545858	1	1	1	0	0	0	1	0	0	0	0.558	0.657	NaN	NaN	NaN	0.558	1.000
7027	ACSS1	acyl-CoA synthetase short-chain family member 1	581251	2	2	2	1	0	0	1	0	1	0	0.270	0.878	0.407	0.830	0.827	0.558	1.000
7028	NARF	nuclear prelamin A recognition factor	412922	1	1	1	1	0	0	0	1	0	0	0.558	0.952	NaN	NaN	NaN	0.558	1.000
7029	ZP2	zona pellucida glycoprotein 2 (sperm receptor)	678002	1	1	1	0	0	0	1	0	0	0	0.558	0.687	NaN	NaN	NaN	0.558	1.000
7030	ZNF7	zinc finger protein 7	608557	1	1	1	0	0	0	1	0	0	0	0.558	0.651	NaN	NaN	NaN	0.558	1.000
7031	RXFP1	relaxin/insulin-like family peptide receptor 1	687378	1	1	1	0	0	0	1	0	0	0	0.558	0.669	NaN	NaN	NaN	0.558	1.000
7032	GCNT2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)	900380	3	3	3	1	0	0	2	1	0	0	0.244	0.667	0.651	0.593	0.914	0.558	1.000
7033	TKTL2	transketolase-like 2	552304	2	2	2	0	0	0	1	1	0	0	0.224	0.563	0.279	0.464	1.000	0.559	1.000
7034	BCORL1	BCL6 co-repressor-like 1	1432579	5	5	5	2	0	0	0	5	0	0	0.482	0.785	0.585	0.253	0.464	0.559	1.000
7035	KLKB1	kallikrein B, plasma (Fletcher factor) 1	578089	1	1	1	0	0	0	0	1	0	0	0.559	0.851	NaN	NaN	NaN	0.559	1.000
7036	PEX5	peroxisomal biogenesis factor 5	586252	1	1	1	0	0	0	0	1	0	0	0.559	0.827	NaN	NaN	NaN	0.559	1.000
7037	NLRP3	NLR family, pyrin domain containing 3	922055	1	1	1	0	0	1	0	0	0	0	0.559	0.822	NaN	NaN	NaN	0.559	1.000
7038	HEPH	hephaestin	964897	2	2	2	1	0	0	1	1	0	0	0.528	0.803	0.0293	0.669	0.424	0.559	1.000
7039	THBS4	thrombospondin 4	823483	1	1	1	0	1	0	0	0	0	0	0.559	0.652	NaN	NaN	NaN	0.559	1.000
7040	DYM	dymeclin	607677	1	1	1	0	0	0	0	1	0	0	0.559	0.846	NaN	NaN	NaN	0.559	1.000
7041	CUL7	cullin 7	1525711	4	4	4	0	0	0	2	2	0	0	0.346	0.262	0.340	0.693	0.648	0.559	1.000
7042	TIPARP	TCDD-inducible poly(ADP-ribose) polymerase	584242	1	1	1	0	0	0	0	1	0	0	0.560	0.858	NaN	NaN	NaN	0.560	1.000
7043	RASAL1	RAS protein activator like 1 (GAP1 like)	628770	2	2	2	0	0	0	0	2	0	0	0.380	0.667	0.132	0.682	0.590	0.560	1.000
7044	RREB1	ras responsive element binding protein 1	1324492	4	4	4	1	0	0	1	3	0	0	0.277	0.707	0.831	0.380	0.811	0.560	1.000
7045	EP300	E1A binding protein p300	2158669	6	6	6	0	0	1	2	3	0	0	0.225	0.166	0.594	0.605	1.000	0.560	1.000
7046	BLNK	B-cell linker	420714	1	1	1	0	0	0	1	0	0	0	0.560	0.696	NaN	NaN	NaN	0.560	1.000
7047	DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	790993	2	2	2	0	0	0	2	0	0	0	0.225	0.457	0.973	0.422	1.000	0.560	1.000
7048	SLC16A4	solute carrier family 16, member 4 (monocarboxylic acid transporter 5)	438328	2	2	2	2	0	1	0	0	1	0	0.225	0.948	0.716	0.922	1.000	0.561	1.000
7049	KIAA0467	KIAA0467	2214033	6	6	6	0	1	0	3	1	1	0	0.225	0.173	0.865	0.893	1.000	0.561	1.000
7050	ZNF331	zinc finger protein 331	411372	1	1	1	0	0	0	0	1	0	0	0.561	0.874	NaN	NaN	NaN	0.561	1.000
7051	HEG1	HEG homolog 1 (zebrafish)	1037994	2	2	2	0	1	0	1	0	0	0	0.379	0.417	0.0257	0.800	0.594	0.561	1.000
7052	FRK	fyn-related kinase	454150	1	1	1	0	0	0	0	1	0	0	0.561	0.851	NaN	NaN	NaN	0.561	1.000
7053	ZNF132	zinc finger protein 132	605351	2	2	2	0	0	0	0	1	1	0	0.231	0.569	0.924	0.938	0.974	0.561	1.000
7054	SLC39A12	solute carrier family 39 (zinc transporter), member 12	588637	2	2	2	1	0	0	0	2	0	0	0.255	0.885	0.357	0.673	0.883	0.561	1.000
7055	MFSD6	major facilitator superfamily domain containing 6	703170	1	1	1	0	0	0	1	0	0	0	0.561	0.676	NaN	NaN	NaN	0.561	1.000
7056	PDPR	pyruvate dehydrogenase phosphatase regulatory subunit	741764	1	1	1	1	0	1	0	0	0	0	0.561	0.920	NaN	NaN	NaN	0.561	1.000
7057	LRRC4	leucine rich repeat containing 4	575136	2	2	2	1	1	0	1	0	0	0	0.225	0.730	0.615	0.0809	1.000	0.561	1.000
7058	CYP2C9	cytochrome P450, family 2, subfamily C, polypeptide 9	442137	1	1	1	0	0	0	1	0	0	0	0.561	0.657	NaN	NaN	NaN	0.561	1.000
7059	KIAA0562	KIAA0562	805798	1	1	1	0	1	0	0	0	0	0	0.561	0.694	NaN	NaN	NaN	0.561	1.000
7060	ZNF227	zinc finger protein 227	707888	1	1	1	1	0	0	1	0	0	0	0.561	0.882	NaN	NaN	NaN	0.561	1.000
7061	ALOX15B	arachidonate 15-lipoxygenase, type B	539784	2	2	2	0	0	0	1	1	0	0	0.299	0.519	0.447	0.440	0.754	0.561	1.000
7062	SRPK2	SFRS protein kinase 2	637935	1	1	1	0	0	0	0	1	0	0	0.561	0.850	NaN	NaN	NaN	0.561	1.000
7063	ASZ1	ankyrin repeat, SAM and basic leucine zipper domain containing 1	433640	1	1	1	0	0	0	1	0	0	0	0.561	0.673	NaN	NaN	NaN	0.561	1.000
7064	DHX57	DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57	1246128	2	2	2	1	0	0	0	1	1	0	0.584	0.958	0.598	0.321	0.386	0.561	1.000
7065	APBB1	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)	603070	1	1	1	0	0	0	0	1	0	0	0.561	0.821	NaN	NaN	NaN	0.561	1.000
7066	POU2F1	POU class 2 homeobox 1	658358	2	2	2	1	0	0	1	1	0	0	0.356	0.804	0.532	0.852	0.633	0.562	1.000
7067	PLA2G4C	phospholipase A2, group IVC (cytosolic, calcium-independent)	505718	1	1	1	0	0	0	0	1	0	0	0.562	0.835	NaN	NaN	NaN	0.562	1.000
7068	ZNF382	zinc finger protein 382	487845	1	1	1	0	0	0	1	0	0	0	0.562	0.666	NaN	NaN	NaN	0.562	1.000
7069	RIOK1	RIO kinase 1 (yeast)	466629	1	1	1	0	0	0	1	0	0	0	0.562	0.701	NaN	NaN	NaN	0.562	1.000
7070	SRP72	signal recognition particle 72kDa	610831	1	1	1	0	0	0	1	0	0	0	0.562	0.678	NaN	NaN	NaN	0.562	1.000
7071	ARSG	arylsulfatase G	475245	1	1	1	0	0	0	0	1	0	0	0.562	0.818	NaN	NaN	NaN	0.562	1.000
7072	SKP2	S-phase kinase-associated protein 2 (p45)	436863	1	1	1	0	0	0	0	1	0	0	0.562	0.834	NaN	NaN	NaN	0.562	1.000
7073	AHCYL1	S-adenosylhomocysteine hydrolase-like 1	482962	1	1	1	0	0	0	0	1	0	0	0.562	0.837	NaN	NaN	NaN	0.562	1.000
7074	GPR97	G protein-coupled receptor 97	479520	1	1	1	1	0	0	1	0	0	0	0.563	0.932	NaN	NaN	NaN	0.563	1.000
7075	ADAM12	ADAM metallopeptidase domain 12 (meltrin alpha)	813953	3	3	3	0	0	0	0	2	1	0	0.226	0.576	0.478	0.661	1.000	0.563	1.000
7076	FUBP1	far upstream element (FUSE) binding protein 1	590029	1	1	1	0	0	0	0	1	0	0	0.563	0.813	NaN	NaN	NaN	0.563	1.000
7077	SLC2A11	solute carrier family 2 (facilitated glucose transporter), member 11	430823	1	1	1	0	0	0	0	1	0	0	0.563	0.800	NaN	NaN	NaN	0.563	1.000
7078	LRRTM1	leucine rich repeat transmembrane neuronal 1	460639	1	1	1	0	0	0	0	1	0	0	0.563	0.821	NaN	NaN	NaN	0.563	1.000
7079	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C	407913	1	1	1	1	0	0	0	1	0	0	0.563	0.937	NaN	NaN	NaN	0.563	1.000
7080	EPHB4	EPH receptor B4	773878	3	3	3	1	0	0	0	3	0	0	0.227	0.764	0.875	0.495	1.000	0.563	1.000
7081	RBM26	RNA binding motif protein 26	886906	3	3	3	1	0	0	1	2	0	0	0.227	0.824	0.892	0.562	1.000	0.563	1.000
7082	ETFDH	electron-transferring-flavoprotein dehydrogenase	558458	1	1	1	0	0	0	0	1	0	0	0.563	0.834	NaN	NaN	NaN	0.563	1.000
7083	EPHA4	EPH receptor A4	887394	1	1	1	0	0	1	0	0	0	0	0.563	0.603	NaN	NaN	NaN	0.563	1.000
7084	CCDC129	coiled-coil domain containing 129	890368	2	2	2	1	1	0	1	0	0	0	0.258	0.819	0.622	0.853	0.882	0.564	1.000
7085	KIF18A	kinesin family member 18A	805877	2	2	2	0	1	0	1	0	0	0	0.266	0.541	0.216	0.978	0.853	0.564	1.000
7086	CHRNB1	cholinergic receptor, nicotinic, beta 1 (muscle)	453533	1	1	1	0	0	0	0	1	0	0	0.564	0.814	NaN	NaN	NaN	0.564	1.000
7087	INTS1	integrator complex subunit 1	1342772	4	4	4	0	2	1	0	1	0	0	0.276	0.300	0.390	0.501	0.823	0.564	1.000
7088	CDC45	cell division cycle 45 homolog (S. cerevisiae)	519755	2	2	2	0	0	0	1	1	0	0	0.228	0.554	0.385	0.779	1.000	0.564	1.000
7089	KNTC1	kinetochore associated 1	1846249	2	2	2	0	0	0	2	0	0	0	0.844	0.452	0.0202	0.726	0.270	0.564	1.000
7090	ALDH1A2	aldehyde dehydrogenase 1 family, member A2	470897	1	1	1	0	0	0	0	1	0	0	0.565	0.831	NaN	NaN	NaN	0.565	1.000
7091	CYP3A4	cytochrome P450, family 3, subfamily A, polypeptide 4	458252	1	1	1	0	0	0	1	0	0	0	0.565	0.669	NaN	NaN	NaN	0.565	1.000
7092	C5	complement component 5	1501486	2	2	2	0	0	0	1	0	1	0	0.746	0.478	0.498	0.349	0.305	0.565	1.000
7093	ATP6V1A	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A	559603	1	1	1	0	0	0	0	1	0	0	0.565	0.830	NaN	NaN	NaN	0.565	1.000
7094	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif, 8	549119	1	1	1	0	0	0	1	0	0	0	0.565	0.641	NaN	NaN	NaN	0.565	1.000
7095	C11orf30	chromosome 11 open reading frame 30	1186346	2	2	2	0	0	0	1	1	0	0	0.522	0.561	0.245	0.500	0.437	0.565	1.000
7096	BBS9	Bardet-Biedl syndrome 9	806326	2	2	2	0	0	1	0	1	0	0	0.331	0.474	0.380	0.206	0.688	0.565	1.000
7097	NOSTRIN	nitric oxide synthase trafficker	475316	1	1	1	0	0	0	0	1	0	0	0.565	0.874	NaN	NaN	NaN	0.565	1.000
7098	ZNF600	zinc finger protein 600	636689	3	1	3	1	0	0	0	3	0	0	0.698	0.857	0.156	0.945	0.327	0.565	1.000
7099	PACS1	phosphofurin acidic cluster sorting protein 1	766462	2	2	2	0	0	0	1	1	0	0	0.403	0.543	0.281	0.188	0.566	0.565	1.000
7100	PIK3R2	phosphoinositide-3-kinase, regulatory subunit 2 (beta)	462274	1	1	1	0	0	0	0	1	0	0	0.566	0.838	NaN	NaN	NaN	0.566	1.000
7101	PCSK9	proprotein convertase subtilisin/kexin type 9	475504	2	2	2	1	0	0	1	1	0	0	0.228	0.771	0.974	0.742	1.000	0.566	1.000
7102	POGZ	pogo transposable element with ZNF domain	1264496	3	3	3	0	1	0	1	1	0	0	0.267	0.424	0.703	0.687	0.856	0.566	1.000
7103	PIWIL4	piwi-like 4 (Drosophila)	764162	1	1	1	0	0	0	0	1	0	0	0.566	0.844	NaN	NaN	NaN	0.566	1.000
7104	SPIRE2	spire homolog 2 (Drosophila)	428764	1	1	1	0	0	0	0	1	0	0	0.566	0.820	NaN	NaN	NaN	0.566	1.000
7105	FBN1	fibrillin 1	2600448	4	4	4	2	0	0	1	2	1	0	0.946	0.903	0.365	0.174	0.242	0.566	1.000
7106	CARD10	caspase recruitment domain family, member 10	702243	1	1	1	0	0	0	1	0	0	0	0.567	0.597	NaN	NaN	NaN	0.567	1.000
7107	SLC25A13	solute carrier family 25, member 13 (citrin)	610298	1	1	1	0	0	0	1	0	0	0	0.567	0.686	NaN	NaN	NaN	0.567	1.000
7108	SDAD1	SDA1 domain containing 1	630534	2	2	2	0	0	0	0	1	1	0	0.229	0.583	0.864	0.418	1.000	0.567	1.000
7109	AGGF1	angiogenic factor with G patch and FHA domains 1	637188	1	1	1	1	0	0	0	1	0	0	0.567	0.956	NaN	NaN	NaN	0.567	1.000
7110	C15orf33	chromosome 15 open reading frame 33	462989	1	1	1	1	0	0	0	1	0	0	0.567	0.960	NaN	NaN	NaN	0.567	1.000
7111	UTP15	UTP15, U3 small nucleolar ribonucleoprotein, homolog (S. cerevisiae)	470265	1	1	1	0	0	0	1	0	0	0	0.567	0.684	NaN	NaN	NaN	0.567	1.000
7112	KCNJ4	potassium inwardly-rectifying channel, subfamily J, member 4	392948	1	1	1	0	1	0	0	0	0	0	0.567	0.624	NaN	NaN	NaN	0.567	1.000
7113	PM20D1	peptidase M20 domain containing 1	451946	1	1	1	0	0	0	0	1	0	0	0.567	0.825	NaN	NaN	NaN	0.567	1.000
7114	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	940155	2	2	2	0	1	1	0	0	0	0	0.295	0.467	0.412	0.398	0.778	0.567	1.000
7115	SLCO2B1	solute carrier organic anion transporter family, member 2B1	630785	1	1	1	0	0	0	0	0	1	0	0.567	1.000	NaN	NaN	NaN	0.567	1.000
